ditto mark,〃
to gather speed,速まる
leaving work (office, school) early,早引き
early stage,早期
early rising,早起き
dawn,早暁
premature,早計
table,早見
rapid talking,速口
quick-eared,速耳
premature development,早熟
rapids,早瀬
fast forward (e.g. VCR, tape deck, etc.),早送り
trot (horse gait),速足
promptly,早速
leaving early,早退
early morning,早朝
eventually,早晩
a little faster than usual,速目に
premature ejaculation,早漏
boarding house for trainee administrators (ritsuryō period),曹司
sergeant major (JSDF),曹長
(spider's) web,栖
to hang out (somewhere),巣くう
setting (of a hen),巣引き
hiding in the nest,巣隠れ
lair,巣窟
setting hen,巣鶏
nestling,巣雛
beehive,巣箱
becoming independent,巣立ち
to graduate (and become a member of society),巣立つ
to nest,巣ごもる
jeering,鑓
someone singled out (for punishment, etc.),ヤリ玉
to (finally) manage to do,漕ぎつける
to push through (deep snow, the jungle, etc.),漕ぐ
boating,漕艇
to be in high spirits,燥ぐ
contest,争い
contentious,争い好き
contention,争い事
to contend with,争い戦う
to rise up in judgment against (judgement),争い訴える
to be angry and quarrelsome,争い怒る
to deny (e.g. evidence),争う
how,如何で
unmistakable,争われない
strike,争議
contentious,争訟
contest,争奪
scramble,争奪戦
beginning of a dispute,争端
point at issue,争点
struggle,争闘
struggling for supremacy,争覇
championship game,争覇戦
strife,争乱
controversy,争論
to get too skinny,痩せこける
bag of bones,痩せっぽち
to grow thin and worn out,痩せ衰える
grinning and bearing it,痩我慢
fellow,相
phase (e.g. solid, liquid and gaseous),相
variation,相異
(points of) difference,相違点
samprayukta,相応
worthy,相応しい
interrelation,相関
correlation coefficient,相関係数
tie,相討ち
competitive bidding,合見積
mutual savings bank,相互銀行
mutual support,相互支援
intercommunication (usu. in telecoms contexts),相互通信
cross attachment,相互配属
sketch of an umbrella with two names under it (equivalent of "X loves Y"),愛愛傘
killing each other,相殺
analogy,相似
successively,相次いで
to happen one after another,相継ぐ
acquaintance,相識
opponent (sports, etc.),相手
to play (a game) with,相手をする
one's adversary,相手方
symmetry,相称
synergism,相乗
synergy,相乗効果
esteem,相場
sharing a table with someone you don't know (e.g. at a restaurant),合い席
inheritance,相続
tete-a-tete,相対
confronting,双対
relative error,相対誤差
double suicide,相対死に
relative humidity,相対湿度
mutual consent,相対尽
theory of relativity,相対性理論
relative value,相対値
relative,相対的
negotiated transaction,相対売買
relativism,相対論
asking (someone) for advice,相談
two smiths hammering at an object in turn,合鎚
to back-channel,あいづちを打つ
pretty,相当
a fair number,相当数
equal to each other,相等しい
to accompany,相伴う
reciprocal,相反性
reciprocity theorem,相反定理
reciprocally,相反的
still,あい変らず
complement,相補
complementation,相補性
complementarity,相補性原理
accomplice,相棒
rikishi,角力
can't hold a candle to,相撲にならない
rikishi,相撲取り
clashing with,相入れない
window,牖
doing through a window,窓ごし
point of contact,窓口
(at the) window,窓際
window-side seat,窓際の席
by the window,窓べ
sash,窓枠
general (election, manager, etc.),総
collective opinion,総意
general meeting,総会
sokaiya,総会屋
total amount,総額
review (by labour or political movements of past activities, results, etc.),綜括
commissioner,総監
sum,総計
concluding,総決算
general offensive,総攻撃
synthetic (e.g. language),総合的
party leader (esp. LDP),総裁
total assets,総資産
mass resignation,総辞職
total income,総収入
generic name,総称
one's whole body,そう身
total population,総人口
head of a group of companies,総帥
count,総数
whole army,総勢
general remarks,総説
general election (of the lower house),総選挙
in the first place,総体
representative,総代
secretary-general,総長
fuehrer,総統
presidential election,総統選挙
viceroy,総督
Sohyo (General Council of Trade Unions of Japan),総評
adjutant general,総務
General Affairs Agency,総務庁
index,総目録
comprehensive guide,綜覧
president,綜理
premier,総理大臣
PMO,総理府
Director General of Prime Minister's Office,総理府総務長官
aggregate amount,総量
head of a warrior clan (Kamakura period),總領
consul general,総領事
all efforts,総力
summation,総和
cleverness,聡敏
haha,艸
rank and file,草の根
draft (for a speech, bill, etc.),草案
flowering plant,草花
grass crown,艸
grass carp (Ctenopharyngodon idellus),草魚
steppe,草原
manuscript,草稿
weeding fork,草取り
grass style,草書
the other world,草場の影
weedy,草深い
grass style,草体
reed pipe,草笛
grass-lot baseball,草野球
zori,草履
Paramecium spp. (esp. Paramecium caudatum),草履虫
straw sandals,草鞋
slater,草鞋虫
demesne,庄園
impressive,荘厳
impressive,荘重
to shelve,葬る
funeral service,葬儀
wake,葬儀式
funeral,葬式
attendance at a funeral,送葬
funeral march,葬送曲
funeral march,葬送行進曲
funeral procession,葬列
pale,蒼白色
shadowy,蒼茫
duckweed,藻
algae,藻草
ecdysis,裳脱け
algae,藻類
to disguise oneself as,粧う
fittings,装具
armour,装甲
armoured recovery vehicle,装甲回収車
armored vehicle,装甲車
armoured personnel carrier,装甲人員運搬車
decoration,装飾
ornament,装束
stage setting,装置
device control character (e.g. DC1),装置制御
putting on,装着
filling,装塡
equipment,装備
clothing,装用
kitchen sink,走り
to run around,走りまわる
to run off,走り去る
running high jump,走高跳
to go for long training runs,走りこむ
errand runner,走り使い
to break into a run,走りだす
hasty writing,走り書
to keep running,走り続ける
to run through to the end,走り抜く
to run past,走りぬける
running long jump,走幅跳
to lie,趨る
running (of a program),走行
movable,走行可能
mileage,走行距離
run time,走行時間
traversal,走査
scan line (e.g. TV),走査線
base runner,走者
express trail,走路
escapement,送り
declensional kana ending,送りがな
ceremonial bonfire (seeing off the spirits on the final night of O-Bon),送り火
perforations (e.g. in film),送り穴
to send in,送りこむ
to show (a person) out,送りだす
addressee,送り先
to escort (a person) home,送り届ける
to send back,送り返す
"gentleman" who escorts a woman home, only to make a pass at her,送り狼
to affix okurigana,送る
deportation,送還
sending money,送金
remittance check,送金小切手
seeing off and meeting on return,送迎
referring a case to a public prosecutor,送検
to send and receive,送受
sending and receiving,送受信
sending,送出
sending,送信
power supply,送電
remitting,送附
send-off,送別
farewell party,送別会
shipping charge,送料
being confronted with (e.g. a difficulty),遭遇
distress,遭難
sufferer,遭難者
SOS,遭難信号
gray hair,霜
thawing,霜解け
frost damage,霜害
eleventh month of the lunar calendar,霜月
formation of frost,霜降
ice needles,霜柱
troubled,騒がしい
to cause trouble,騒がす
disturbance,騒ぎ
to clamour,騒ぎたてる
to be excited,騷ぐ
to murmur,騒めく
din,騒音
uproarious,騒然
dispute,騒動
mayhem,騒乱
poltergeist,騒霊
image,像
to grow,増す
increase,増やし
hiring more people,増員
reinforcement (e.g. of troops),増援
increment,増加
issuing an extra number,増刊
special number,増刊号
buildup,増強
fluctuation,増減
additional run,増刷
production increase,増産
issue of new shares,増資
increase in yield,増収
proliferation,増殖
breeder reactor,増殖炉
advance,増進
tax increase,増税
expansion,増設
growth rate,増設率
increase,増大
addition to a building,増築
increasing,増長
revision and enlargement,増訂
enlarged and revised edition,増訂版
making larger,増幅
amplifier,増幅器
increment,増分
wonderful,悪い
hatred,憎しみ
bad kid,憎まれっ子
abusive language,にくまれ口
ungracious part,憎まれ役
to detest,悪む
(speaking ironically) darling,憎らしい
detestation,憎悪
bowels,臓
intestines,臓器
organ transplant,臓器移植
offal,臓物
(personal) library,蔵書
Minister of Finance,蔵相
storing in a warehouse,庫入れ
sender (of a present),贈主
to award,贈る
corruption,贈収賄
presentation (e.g. of a gift, etc.),贈呈
exchange of presents,贈答
presentation,贈与
presentation certificate,贈与証書
graft,贈賄
attached,造りつけ
art of landscape gardening,造園術
modeling,造型
the plastic arts,造形美術
deep knowledge,造詣の奥深さ
neologism,造語
treat,雑作
facial features,雑作
simple,造作無い
shipbuilding,造船
arsenal,造兵廠
mint,造幣局
reforestation,造林
to promote,促す
geminate consonant (small "tsu" in Japanese),促音
spurring on,促進
stimulant,促進剤
promotion of growth,促成
artificially hastening the growth of plants (by controlling heat, light, etc.),促成栽培
third person,端
to regret,側む
to look at out of the corner of one's eyes,側める
lateral pressure,側圧
side stroke,側泳
parasite volcano,側火山
retainer,側近
nearby,傍近く
close associate,側近者
ditch,側溝
lateral root,側根
maid,側仕え
concubine (of a noble),側室
flanking fire,側射
side car,側車
lateral line (of a fish),側線
flank,側背
the side,側部
side wall,側壁
corner,側辺
dimension,側面
side view,側面観
side view,側面図
personal attendant,側役
to follow (rule, tradition, example, etc.),乗っ取る
to be based on,則する
i.e.,輒
enthronement,即位
(rapid) reaction,即応
off-the-cuff,即興
impromptu,即興曲
cash down,即金
instant effect,即功
instantly,即刻
instantaneous,即座
on the spot,即座に
instant death,即死
in real time,即時
timeliness,即時性
immediate cease-fire,即時停戦
instant,即席
snap judgment,即断
immediate,即値
immediate reply,即答
(on) the same day,即日
same day shipping,即日出荷
sale on the spot,即売
pragmatic,即物的
mood,息
to breathe,息をする
to take a short rest,息を付く
to catch one's breath,息を殺す
to come back to life,息を吹き返す
to be excited,息を弾ませる
breather,息つぎ
penis,息
son,息子さん
vitality,気吹
loss of efficiency,息切れ
vent hole,息抜き
sheaf,把
bundle,束
management,束ね
to shock (grain),束ね積む
brief space of time,束の間
old ceremonial court dress,束帯
confinement with rope,束縛
hairstyle introduced in the Meiji era consisting in a bun or chignon tied at the back of the head,束髪
gift of dried meat from a new vassal or pupil,束修
weather measurement station,測候所
geodetic survey,測地
length measuring machine,測長機
measurement,測定
measure,測度
surveying,測量
surveyor's level,測量機械
surveying engineer,測量技師
survey map,測量図
coin,肢
to have a secret revealed,足が出る
to be slow-footed,足が遅い
to have a (male) lover,足が付く
to go toward,足しになる
addition,足し算
adder (spoken),足し算器
to take care of (e.g. one's business),足す
dorsum pedis,足の甲
toe,足の指
just short of,足らず
to answer,足りる
to answer,足る
to cross one's legs,脚を組む
sense or sign that something is approaching,跫
footwear,足廻り
footwork,足業
wooden beam that joins underfloor pillars,足固め
legs and loins,足腰
level dyeing,足留
movements,足どり
ankle,足頸
treating (someone) poorly,足げ
convenience of access (by road or rail),足場
stamping or scraping one's feet,足摺り
swift,足速
at a quick pace,足速に
light-footed,足速い
rain clogs,足駄
tabi,単皮
stalemate,足ぶみ
foot sweep,足払い
step,足並
Ashikaga period (i.e. Muromachi period; 1336-1573),足利時代
trouble of going somewhere,足労
the instant ...,捷い
earliness,早さ
swift,速やか
stenography,速記
blitzkrieg,速戦即決
special delivery,速達
jumping to a conclusion,速断
velocity,速度
speedometer,速度計
quick announcement,速報
speed,速力
velocity,速力度
low,俗
low-brow,俗っぽい
commonly,俗に
they say,俗に言う
coarseness,俗悪
worldly connection,俗縁
popularisation,俗化
ballad,俗歌
explanation in common language,俗解
workaday world,俗界
worldly study,俗学
common people's music (as opposed to court music),俗楽
the public,俗間
popular opinion,俗眼
popular opinion,俗議
ballad,俗曲
the figure of the common man,俗形
laymen's opinion,俗見
colloquial language,俗言
popular saying,俗諺
slang,俗語
popular,俗向き
practical wisdom,俗才
daily chores,俗事
popular form of a Chinese character,俗字
attention of the masses,俗耳
vulgar taste,俗趣味
mediocre scholar,俗儒
popular appeal,俗受け
usage,俗習
worldliness,俗臭
the public,俗衆
cheap fiction,俗書
popular name,俗称
worldly affairs,俗情
folk belief,俗信
layman,俗人
earthly affairs,俗塵
earthly life,俗世
everyday world,俗世界
workaday world,俗世間
secular surname (of a priest),俗姓
tradition,俗説
worldly priest,俗僧
vulgar style,俗体
worldly conversation,俗談
vulgar music,俗調
conventional truth,俗諦
unholy desires,俗念
the crowd,俗輩
snob,俗物
vulgar writing,俗文
popular literature,俗文学
daily routine,俗務
popular usage,俗用
ditty,俗謡
petty official,俗吏
worldly customs,俗流
worldliness,俗累
popular opinion,俗論
colloquial expression,俗話
to be subject to,属する
character class, type, fetish, etc.,属性
attribute value,属性値
generic name,属名
rebel army,賊軍
(the stigma of) the name of "rebel",賊名
group (of the periodic table),族
to last,続く
to keep on,続ける
resuming,続行
occurring in succession,続出
continued rise,続騰
series,続発
connection,続き柄
sequel,続篇
further news,続報
to pass away,卒する
quitting,卒業
after graduation,卒業後
graduation test,卒業試験
commencement,卒業式
testamur,卒業証書
alumnus,卒業生
the ranks,卒伍
graduate,卒者
90th birthday,卆寿
apoplexy,卒中
bachelor's degree thesis,卒論
wing (of a stage, desk, gate, etc.),袖
armhole,袖口
without a pause,其儘
bye then,其れでこそ
notwithstanding,其れでも
that being the case ...,其れなら
because of that,其れ故
therefore,其処で
nothing but,揃い
to be collected,揃う
to match,揃える
way of justification, sorting, etc.,揃え方
to think, feel, consider, know, etc.,存じる
presence,存在
meaning of one's existence,存在意義
entity,存在者
ontology,存在論
duration,存続
continue,存置
as much as one wants,存分
fully,存分に
grandchild,孫
second hand citation,孫引き
grandson,孫息子
granddaughter,孫娘
counter for buddhas,尊
your idea,尊意
Royalists,尊王家
Imperialists,尊王党
reverence for the emperor and the overthrow of the shogunate,尊王討幕
Obediently yours,尊下
your house,尊家
someone's letter,尊簡
your countenance (his ..., her ..., etc.),尊顔
noble (person),尊貴
one's companion,尊君
elderly person,尊兄
honor,尊敬
honorific language,尊敬語
sanctity,尊厳
your father,尊公
title of honor,尊号
guest of honour,尊者
regard,尊重
someone's letter,尊書
honorific title,尊称
one's superior,尊上
reverence,尊信
veneration,尊崇
your picture,尊像
image (e.g. of Buddha),尊体
you,尊台
self-important,尊大
your house,尊宅
one's seniors,尊長
your mother,尊堂
aristocrat and plebeian,尊卑
your father,尊父
your name,尊名
your order,尊命
your countenance,尊容
your visit,尊来
your idea,尊慮
unfavorable,損
failure,損じ
to damage,損じる
to fail to (do what one ought to have done),損ねる
advantage and disadvantage,損益
loss,損害
to suffer a loss,損害を蒙る
compensation,損害賠償
damage insurance,損害保険
loss (of assets, profit, etc.),損失
injury,損傷
advantage and disadvantage,損得
damage insurance,損保
loss,損亡
loss,損耗
casualty,損耗人員
village,村
villager,村人
village mayor,村長
ostracism,村八分
villager,村民
inferiority,そん色
unable to compare with,遜色がある
equal to,遜色が無い
another man's property,ほかの物
altruism,他愛
guileless,たわい無い
guileless,他愛も無い
malice,他意
another house,他家
to die,他界
symptoms observed by the doctor,他覚症
symptoms observed by the doctor,他覚症状
objective (symptoms),他覚的
foreign country,他郷
other prefectures,他県
showing others,他見
going out,他行
alien land,他国
person from another place,他国者
stranger,他国人
other peoples,他国民
murder,他殺
another temple,他山
food for thought,他山の石
other people's affairs,他事
other company,他社
others,他者
another sect,他宗
going out,他出
third person,他称
double-mindedness,他心
accidental resemblance,他人のそら似
treating like a stranger,他人扱い
formal,他人行儀
other worlds,他世界
another surname,他姓
transmigration,他生
karma from a previous existence,他生の縁
other villages,他村
another restaurant,他店
transitive verb,他動詞
at some future time,他日
some day,他年
thinking about something else,他念
intently,他念なく
the other group,他派
another man's property,他物
informing,他聞
on the other hand,他方
on the other hand,他面
subordination,他律
another school (of thought, karate, etc.),他流
contest between different schools (of fencing, etc.),他流試合
another fief,他領
salvation by faith,他力
depending on others,他力本願
multi-,多
common,多い
in many cases,多くの場合
multisort,多ソート
multibyte,多バイト
size,多寡
polygon,多角形
expensive,多額
many divergences,多岐
various meanings,多義
diversity,多元
plural,多元的
multiculturalism,多元文化論
pluralism,多元論
polyatomic,多原子
garrulity,多言
open (weave),多孔
great happiness,多幸
polynomial,多項式
transnational,多国籍
transnational corporation,多国籍企業
in many languages,多国籍言語
all kinds of,多彩
talented,多才
abundant production,多産
pressure of business,多事多端
multidimensional,多次元
high humidity,多湿
profuse apology,多謝
various,多種
diversity,多種多様
multiplex,多重
multiplexing,多重化
person with multiple debts,多重債務者
multiple namespace,多重名前空間
number,多少
many omens,多祥
sentimental,多情
one who generally eats a lot,多食
polytheism,多神論
majority,多数
majority rule,多数決
numerical superiority,多勢
multilayer,多層
serious,多大
multi-step,多段階
archipelago,多島海
extensive reading,多読
full of troubles, difficulties,多難
many years,多年
perennial,多年生植物
perennial plant,多年草
great,多分
multivariable,多変数
multivariate analysis,多変量解析
polygon,多辺形
multivalve,多辯
at many levels,多方面に
busyness,多忙
multifaceted,多面
polyhedral angle,多面角
polyhedron,多面体
multipurpose,多目的
varied,多様
diversification,多様化
variety,多様性
many uses,多用
multi-purpose helicopter,多用途ヘリコプター
patra (silver incense dish placed in front of a Buddhist statue),多羅
large amount,多量
audacious,太い
stout,肥った
fatso,太っちょ
broad-minded,太っ腹
to get stout,肥る
big penis,太マラ
Tai Chi Chuan,太極拳
ancient times,太古
butt,太腿
drum,太鼓
endorsement,太鼓判
thick characters,太字
broad-pointed (of writing instruments),太書き
emperor,大祖
Chinese glaive,横刀
fighting against,太刀打ち
Pacific Ocean,大平洋
Sun,太陽
rays of the Sun,太陽光線
solar power (generation),太陽光発電
solar calendar,太陽暦
sputum,唾き
sputum,唾液
to lapse into,堕する
feticide,堕胎
abortionist,堕胎医
degradation,堕落
apostate priest,堕落坊主
force of habit,堕力
giving in,妥協
compromise plan,妥協案
an agreement,妥結
reasonable,妥当
propriety,妥当性
listlessness,惰気
force of habit,惰性
inactivity,惰眠
to bring down (a stick on someone's head),打ち下ろす
difficult to make friends with,うち解けにくい
to be frank,打解ける
to ruin,打ち毀す
to hit hard,打ち噛ます
step recording (in electronic or computer music),打ち込み
to crush,ぶち砕く
to start beating,打ちだす
to out-hit,打克つ
wrap party,打揚げ
to report (to boss, etc.),打揚げる
to hit very hard,打ち据える
to close,打切る
to eliminate,うち破る
to knock down walls,うち抜く
to come and retreat,打返す
to clang,打鳴らす
to destroy,打ち滅ぼす
just right,打って付け
to barrel along,打っ飛ばす
to bind (a criminal),擣つ
to give (an address),撲つ
way to do (something),打つ手
nothing can be done,打つ手がない
to sock,ブン殴る
break in the deadlock,打開
percussion instrument,打楽器
batting,打撃
keystroke,打けん
self-interested,打算的
batter,打者
making an approach (about),打診
times at bat,打数
batting lineup (line-up),打線
knockdown,打倒
abolishing,打破
beating,打撲
contusion,打撲傷
batting average,打率
helm,檝
ellipse,橢円
Sanskrit multi-syllabic chant,陀羅尼
cheap individually wrapped sweets,駄菓子
mutt,駄犬
trash,駄作
bad pun,駄酒落
packhorse charge,駄賃
my poor writing,駄文
nonsense,駄弁
to chat with,駄弁る
tall tale,駄法螺
intersection owned by neither player at the end of a game,駄目
dead body,躯
type,体
form,態
to be lazy,体を惜しむ
to make the utmost effort,体を粉にする
sexual position,体位
gym (class),体育
Sports Day,体育の日
athlete,体育家
gymnasium,体育館
body fluids,体液
body temperature (human, animal),体温
(clinical) thermometer,体温器
(clinical) thermometer,体温計
outside the body,体外
IVF,体外授精
sensation of physically leaving your body,体外離脱
constitution,体格
physical checkup,体格検査
experience,体感
boxing and jujitsu,体技
stature,体軀
imprisonment with hard labour,体刑
(type of) physique,体形
architecture,体系
organisation,体系化
systematic,体系的
first-hand experience,体験
testimonial,体験談
embodiment,体現
indeclinable nominal (in Japanese),体言
body cavity,体腔
body wall,体腔壁
glib talk,体裁
for appearance sake,体裁上
to put on airs,体裁振る
decently,体裁良く
culture,体質
characteristic (of someone),体臭
(body) weight,体重
organisation,体制
volume,体積
volume resistivity,体積抵抗
PE,体操
drill ground,体操場
all over,体じゅう
state of health,体調
body length,体長
comprehension,体得
interior of the body,体内
understanding based on experience,体認
body heat,体熱
corporal punishment,体罰
figure,身体付き
appearance,体貌
appearances,体面
terms,体様
important point,体要
discreetly,体よく
body weight,体量
scales for weighing,体量器
strength of an organization (e.g. profitability, productivity, economic clout, stability, growth potential),体力
(terminal) moraine,堆石
sedimentation,堆積
manure,たい肥
to ...,對
counter for sets (of clothes, small furniture, utensils, etc.),対
per,對して
counter-suggestion,対案
support (for),対応
corresponding value,対応値
supported version,対応版
foreign,対外
foreign policy,対外政策
accusative case,対格
opposite angle,対角
diagonalization,対角化
diagonal (line),対角線
opposite shore,対岸
antonym,対義語
player of go,対局者
anti-aircraft missile,対空ミサイル
flak,対空砲火
contraposition,対遇
showdown,対決
opposite,対向
antagonism,対抗
opposing forces,対抗部隊
inter-school match,対校試合
preparation (e.g. for a test),対策
concerning China,対支
coping with,対処
comparison,対照
specific (e.g. antibody),対症
second person,対称
symmetry,対称性
subject (of taxation, etc.),対象
object,対象体
selected range,対象範囲
counter-intelligence,対情報
confrontation,対審
log,対数
match,対戦
anti-tank missile,対戦車ミサイル
anti-tank weapons,対戦車火器
anti-ballistic (missile),対弾道弾
conversation,対談
interlocutor,対談者
equal terms,対等
comparison,対比
confronting,対面
original text with its translation printed side by side or on opposite page,対訳
antagonism,対立
communication,対話
interactive,対話式
interlocutor,対話者
holding one's own with,対峙
fireproof,耐火
persistence,耐久
resistant to earthquakes,耐震
seismic resistance,耐震性
heat-resisting,耐熱
life of austerity,耐乏生活
radio or television program broadcast in the same time slot on all or most days,帶
belt (e.g. Van-Allen, asteroid, etc.),帯
to be tinged with,帯びる
bandwidth,帯域
bandwidth,帯域幅
taking (someone) along,帯同
compound number,帯分数
anxiously awaited,待遠しい
to wait impatiently for,待ち兼ねる
to watch (for),待構える
appointment,待ちあわせ
to arrange to meet,待ちあわせる
waiting in vain,待ちぼけ
to expect,待ち受ける
to long for,待ちこがれる
lying in wait for an ambush,待伏せ
to ambush,待伏せる
to look forward to,待望む
to need,俟つ
quarantine,待機
remuneration,待遇
waiting room,待合室
waiting (on a siding) to let another train pass,待避
long-awaited,待望
to neglect (e.g. one's work),懶ける
slothful person,懶け者
carefully,怠らずに
without blundering,怠り無く
neglectfulness,怠り勝ち
to be off one's guard,怠る
slow-down tactics,怠業
slothful,怠情
procrastination,怠慢
way of ...,態
intentionally,態と
readiness,態勢
stand,態度
thank you (for the meal just served),戴きます
enthronement,戴冠式
rate of exchange,代え
second serving of noodles (to add to one's remaining ramen broth),替玉
the West,泰西
Western painting,泰西名画
firm,泰然
calm and self-possessed,泰然自若
delay,滞り
to be outstanding,滞る
sojourn,滞在
delinquency,怠納
one who doesn't pay one's bills,滞納者
antenatal training,胎教
unborn child,胎仔
live-bearing,胎生
stirrings,胎動
interior of a Buddhistic statue,胎内
afterbirth,胎盤
short plants resembling moss (incl. other bryophytes, lichens, very small spermatophytes, etc.),蘿
mossy,苔状
bryophyte (any of three groups of non-vascular land plants, incl. mosses, hornworts and liverworts),苔類
lichen,苔癬
plot of land surrounded by water,嚢
dead end,袋小路
opossum,袋鼠
facing a barrage of criticism,袋だたき
credit side,貸
rental boat,貸しボート
to let out on hire,貸出す
carriage for hire,貸し馬車
loan,貸しつけ
to hire out,藉す
house for rent,貸し屋
safe-deposit box,貸し金庫
lending and borrowing,貸借
balance sheet,貸借対照表
irrecoverable debt,貸倒
loan,貸付金
method of lending,貸し方
lending,貸与
a good time to quit,退き時
to expel,却ける
to do boldly,除ける
inevitable,退っ引きならない
abdication,退位
discharge from hospital,退院
unenterprising,退嬰的
degeneration,退化
unsubscribing (from a mailing list, etc.),退会
leaving school (university, etc.) after completing a course,退学
retirement from office,退官
retirement,退却
recession,退去
fleeing,退散
curing illness,対治
leaving work (e.g. at the end of the day),退社
exit (e.g. from a market),退出
resignation,退職
withdrawal,退陣
stepping down,退任
backup (of data),退避
deterioration,退歩
capture,逮捕
stripping a Diet member of arrest immunity,逮捕許諾
person arrested,逮捕者
arrest warrant,逮捕状
team members,隊員
commanding officer,隊長
blackish blue,黛青
tai (species of reddish-brown Pacific sea bream, Pagrus major),鯛
shiro (unit of land area equal to one-fiftieth of a tan; approx. 19.83 m.sq.),代
looking better (than before),代り栄え
one after the other,代り代り
double,代り役
alternate plan,代案
substitution,代位
signing by proxy,代印
proxy,代員
standing in (for),代演
sacrifice,代価
acting administrator,代官
replacement warship,代艦
applying by proxy,代願
one who offers prayer in place of another,代願人
representing others in a conference,代議
delegate,代議員
delegation,代議員団
member of a congress,代議士
parliamentary system,代議制度
representative government,代議政治
representative government,代議政体
time in lieu,代休
fee,代金
COD,代金引き替え
substitute teaching,代稽古
attorney,代言
advocate,代言者
lawyer,代言人
executing business for,代行
agency,代行機関
proxy,代行者
substitute lecturer,代講
ghost-writing,代作
visiting a temple for another,代参
subrogation (of administrative acts),代執行
replacing the old with the new,代謝
sign for another,代署
scribe,代書
amanuensis,代書人
substitution,代償
commodore,代将
locum tenens,代診
agent,代人
number of generations (e.g. in imperial succession),代数
algebra,代数学
algebraic expression,代数式
substitute priest,代僧
substitute runner,代走
pinch hitter,代打
pinch hitter,代打者
waiting in place of someone else,代待ち
substitute article,代替物
substitute land,代地
replace,代置
reading for another,代読
assignment,代入
acting official,代任
car running on substitute fuel,代燃車
paying with a substitute,代納
writing on someone's behalf,代筆
main number,代表
representative,代表格
masterpiece,代表作
delegate,代表者
delegation,代表団
model,代表的
diplomatic mission,代表部
representative example,代表例
substitute article,代品
godfather,代父
money,代物
substitute,代物
answer a roll call for another,代返
carrying out (on someone's behalf),代辯
voice (e.g. for the ordinary citizen),代辯者
godmother,代母
vicarious management,代務
representative,代名詞
double,代役
substitution,代用
substitute food,代用食
cheaper meat used in place of beef or pork,代用肉
substitute,代用品
stand-in,代理
power of attorney,代理委任状
agency,代理業
agent,代理業者
(attorney's) authority of representation,代理権
chargé,代理公使
attorney,代理者
attorney,代理人
charge d'affaires of embassy,代理大使
agent,代理店
voting by proxy,代理投票
branch store,代理部
vicar,代理牧師
acting consul,代理領事
red ocher (ochre),代赭
yellowish-brown,代赭色
tower,台
his (or her) honor (honour),台下
your face,台顔
trapezoid,台形
pedestal,台座
mount,台紙
theatrical elocution,せりふ回し
bogie,台車
financial situation,臺處
kitchen utensils,台所道具
kitchenware,台所用品
battery,台場
butt of a gun,台尻
number of large objects such as cars, computers, etc.,台数
stone pedestal,台石
eminence,台地
register,台帳
gathering strength,擡頭
weighing platform,台秤
eye of a typhoon,台風眼
scenario,台本
ruin,臺無し
to make a mess of,台なしにする
command of a shogun or a high official,台名
unworked block of wood,砧木
inspection by the empress or the crown prince,台覧
visit by the empress or the crown prince,台臨
architrave,台輪
Taiwan,臺灣
Straits of Taiwan,台湾海峡
Taiwanese people,台湾人
large-scale,大大的
a lot of,大いに
great,大きな
volume,大きさ
keep out of it!,大きな御世話
thanks a lot,大きに
to exaggerate,大げさに言う
careless (work),大ざっぱ
a big deal,大した
(not) very,大して
openhanded,大まか
in a broad way,大まかに言えば
great quantity (of something),多らか
auspicious day,大安
conqueror of Death,大威徳明王
flight lieutenant (RAF, RAAF, RNZAF, etc.),大尉
outline,大意
wide area,大域
the cosmos,大宇宙
heavy rain,大雨
outright lie,大噓
shogun's harem,大奥
lady of the house,大奥様
great king,大王
landlady,大屋
distinguished family,大家
extended family,大家族
large fire,大火
grand event,大会
New Year's Eve,大みそか
fabric pattern,大海
big miss,大はずれ
major sweeping leg throw,大外刈
really,大概
the Great Learning (one of the Four Books),大學
graduate school,大学院
college student,大学生
college graduate,大学卒
large-scale,大がかり
large corporation,大企業
great joy,大喜び
great talents mature late,大器晩成
generosity,大氣
air pollution,大気汚染
large-scale,大規模
LSI,大規模集積回路
full-scale war,大規模戦争
duty (to one's country, sovereign, etc.),大義名分
to come to a close,大詰を迎える
holocaust,大虐殺
rush,大いそぎ
sawdust,おが屑
good haul,大漁
mega-competition,大競争
pretentious,大形
overall situation of a game of go,大局
basic points,大筋
great cost,大金
firmament,大空
swarm,大群
big,大形
(petroleum) super tanker,大型タンカー
semi-trailer,大型トラック
jumbo jet,大型機
great circle,大圏
great circle route,大圏コース
great circle sailing route,大圏航路
strongly disliking,大嫌い
bragging,大言壮語
staggering drunkard,大虎
large hand drum,大革
archduke,大公
being very fond of,大好き
to fall in love,大好きになる
(one's) favorite food,大好物
carpenter,大工
mad rush,大あわて
province of the highest rank (ritsuryō system),大国
main man,大黒柱
ham actor,大根
(navy) captain,大佐
wide margin,大差
great disaster,大災害
grand festival,大祭
grand festival,大祭り
High Priest (of Israel),大祭司
Osaka city,大阪市
Osaka Prefecture (Kinki area),大阪府
masterpiece,大作
platter,大皿
ambassador,大使
embassy,大使館
ambassador's residence,大使公邸
archbishop (Catholic),大司教
aspiration,大志
bough,大枝
OK,大事
larger section (of village),大字
large temple,大寺院
general pardon,大赦
Izumo Grand Shrine,大社
archbishop (Orthodox, Anglican, etc.),大主教
