ditto,同断
entering a dock,入渠
fishing-lot,入漁権
fishing-lot rights,入漁権
fishing-lot fisherman,入漁者
fishing-lot charge,入漁料
entering Tokyo,入京
entering the depot,入庫
emperor's return to the imperial palace,入御
being mixed,入交
entrance into drift or pit,入坑
enrollment,編入
arriving in harbor,入港
ship's harbour charges,入港料
paying tribute,入貢
entry into a country,入国
Immigration,入国管理局
Immigration Office,入国管理局
entry visa,入国査証
landing tax,入国税
tenderer,入札者
studying under a Buddhist teacher,入室
entering a dormitory,入舎
incident,変り
incidence,入射角
angle of incidence,入射角
starting work at a company,入社
company entrance test,入社試験
spiritual liberty,入寂
getting (hold of),入手
obtaining,入手難
difficulty of obtaining,入手難
IO,入出力
high;,入賞
placing (high; in a contest),入賞
prize-winner,入賞者
conquering,平定
entry into a castle (by a conquering force),入城
Admittance,入場を断り
No Admittance,入場を断り
platform ticket,入場券
liberty of entrance,入場権
admission tax,入場税
admission gate,入場門
admission charge,入場料
entering a (Japanese) settlement,入植
joining a religion,入信
registering, etc.) in the family register
registering (a marriage, etc.) in the family register
ship coming into a port,入船
winning candidate,入選者
vespers,入相の鐘
vespers bell,入り相
replacement parts,入替え部品
arrival in Japan,入朝
imports,入超
excess of imports,輸入超過
entering a port,入津
death (of a high monk, etc.)
admission to the courtroom,入廷
telegram received,入電
joining a political party,入党
entering Tang China,入唐
springs,入湯
bathing at hot springs,入湯
bathing guest at a hot spring,入湯客
bald-headed,光頭
bald-headed monster,入道
thunderhead,入道雲
party's,入内
imperial bridal party's entry into the court,入内
beginning of the rainy season,入梅
marrying into the wife's family,入夫
entering the metropolitan area,入府
enshrining a Buddhist image,入仏
gabled, hipped roof
advancing to the first grade,入幕
death (of Buddha, high priest
cotton padding,入綿
introductory text,入門テキスト
going in the bath,入浴
entering Kyoto,入洛
(data) entry,入力
entry field,入力フィールド
input device,入力装置
encroachment,入冦
the same as,如き
no way,如何して
oi,如何に
something strange,偽物
swindler,不徳漢
perfected,如來
deities,如來
perfected one (suffix of high-ranking Buddhist deities),如來
urine,小用
ureter,輸尿管
uric,尿酸
uric acid,尿酸
carbamide,尿素
urethra,尿道
leek,韭
Chinese leek,韭
broadleaf,韮葱
ampeloprasum,韮葱
broadleaf wild leek (Allium ampeloprasum),韮葱
to leave to a person,任す
to rely fully on one's (full strength, great ability
voluntarily,任意出頭
voluntarily appearing for police questioning,任意出頭
term of office,任期
tenure,任期中
during one's tenure,任期中
expiration of term of office,任期満了
yakuza,暴力団
appointment to a post,任職
one's post,任地
designation,称呼
written appointment,任命状
appointments,任免
appointments and dismissal,任免
expectant,妊産婦
mothers,妊産婦
expectant and nursing mothers,妊産婦
gestation,妊娠
pregnancy termination,妊娠中絶
pregnant woman,妊婦
maternity clothes,妊婦服
to hide,忍ばせる
to draw near unnoticed,しのび寄る
to sneak in,忍込む
soft steps,忍び足
to put up with,忍ぶ
stoicism,禁欲主義
ninjutsu,忍術
ninja arts,忍法
to eat,認める
acknowledge,認める
to acknowledge,認める
cognisance,認識
attestation,認証
Imperial attestation,認証
certifier,認証者
cognition,認知
denial,認否
admission or denial,認否
to dip,濡す
to get wet,濡る
spring onion,葱
very small (particularly of a room or flat),猫の額のような
inability to take hot food,猫舌
stoop,猫背
wolf in sheep's clothing,猫被り
cat's-eye,猫眼石
semiprecious,猫眼石
cat's-eye (semiprecious stone),猫眼石
of interest,有意義
to heat up,熱する
ardour,熱意
thermoplastic,熱可塑
resin,熱可塑樹脂
thermoplastic resin,熱可塑樹脂
thermoplasticity,熱可塑性
thermal diffusion,熱拡散
being crazy about,熱狂
hot-blooded,熱血漢
hot-blooded man,熱血漢
thermosetting,熱硬化
hardener,熱硬化剤
hardener (catalyst in hardening thermosetting materials),熱硬化剤
thermosetting material (esp. plastics and resins),熱硬化物
heat rays,熱線
tropics,熱帯
tropical,熱帯魚
tropical fish,熱帯魚
devoted,熱中
being devoted to,熱中
boiling water,煮え湯
febrile,熱病
febrile disease,熱病
fervent,熱弁
fervent speech,熱弁
burning desire,熱望
thermal expansion coefficient,熱膨張係数
thermodynamics,熱力学
thermodynamic,熱力学的
vehement,激越
hot sake,熱燗
year in and year out,年柄年中
to grow old,老いる
considering this age,年が年
year after year,歴年
old-man's,年の功
old-man's wisdom,年の功
year-end market,歳の市
last days of the year,歳の瀬
bean-scattering,年の豆
beans of the bean-scattering ceremony,年の豆
for the first time in ... years,年振り
before the year ...,年までに
to enter a New Year,年を越す
to age,歳取る
annual profit,年益
New Year's gift,年玉
New Year's mail,年賀郵便
postcard,年賀葉書
New Year's postcard,年賀葉書
annual convention,年会
annual fee,年会費
Buddhist anniversary service,年忌
luck attending age,年回り
dawns,年改まる
the New Year dawns,年明ける
yearly,年額
yearly amount,年分
instalments,年掛
paying in yearly instalments,年掛
annual rate,年割り
annual publication,年刊
during the era (of),年間
yearly revenue,年間収益
spoiled,年寄り子
child spoiled by doting grandparents,年寄り子
fogyish,年寄り臭い
like an old woman,年寄り染みた
senior's,年寄り役
senior's role,年寄り役
one-year,年期
one-year period,年期
expiration of a term of service,年期明け
annual salary,年棒
child born in first half of the year,年強い
years later,年後
longevity pay,年功加俸
seniority by length of service,年功序列
seniority rule,年功制度
thoughtless for one's age,年がいもない
annual rice tax,年貢米
for some years,年来
these days,此の所
annual variation,年差
annual festival,例年祭
annual production,年産額
New Year's greetings,迎春
children born in consecutive years,年子
order by year,年次
youthful,裏若い
child born in last half of the year,年弱
annual income,年収
beginning of the year,年甫
number of years,幾歳
nth-year pupil,年生
annual tax,年租
middle-aged,熟年
middle-aged woman,年増
chronology,年代記
chronological,年代順
chronological order,年代順
years (old),年歯
man born in a year with the same Chinese zodiac sign as the current year,年男
middle class (of a nursery school, etc.)
annual event,年中行事
always saying the wrong thing,年中失言
person older than oneself,年長者
product year,年度
by the end of the year,年内
before the year is out,年内に
oncoming,年波
oncoming age,年波
chronological record,年譜
annual instalment,年賦
by years,年別
the year ends,年暮れる
yearbook,年報
year-end drinking party,年忘れ
every year,年毎に
end-of-year,年末
early in the New Year,年明け
annual interest rate,年利
experience in life,年輪
age gap,年齢差
age bracket,年齢層
to chant (a silent prayer),念ずる
caution's,念為
for caution's sake,念為
one's dearest wish,念願
the very final proof (printing),念校
thoughtography,念写
legal instrument,念書
heed,念頭
attentive,念入り
conscientiousness,念入れ
visualizing,念仏
visualizing a Buddha (in one's mind),念仏
psychokinesis,念力
screwed,捻じ桔梗
Chinese bellflower (slightly screwed),捻じ桔梗
to scrape together (funds),ひねり出す
to pinch out,ひねり潰す
to defeat easily,撚る
wrench,捻挫
contriving,遣り繰り算段
torsion,捻転
to get fired up,燃える
to extend itself,燃え移る
to spread (of flames),燃え広がる
to burst into flames,燃えあがる
to burn out,燃え尽きる
to ignite,燃付く
gas mileage,燃費
stickiness,粘り気
sticky,粘い
linger,粘る
to linger,粘る
phlegm,粘液
viscosity,粘度
argillaceous,粘土質
mucous,粘膜
mucous membrane,粘膜
sentence-end, rising tone) indicates question
(at sentence-end, rising tone) indicates question
molest,悩ます
to molest,悩ます
to be troubled,悶える
enchant,悩殺
deep (love, etc.)
dark blue,濃青色
strength and weakness (of flavor),濃淡
greyscale,濃淡画像
greyscale image,濃淡画像
thick fog,濃霧
dark green,暗緑
outhouse,別棟
year-end gathering (e.g. party),納会
placing of body in coffin,納棺
deadline,納期
deadline (for payment or delivery),納期
payment of taxes,納税
natto,納豆
natto (fermented soybeans),納豆
delivery of goods,納品
noh (theatre),能
the person who knows most often says least,脳ある鷹は爪を隠す
noh play,能楽
noh theater,能楽堂
noh interlude,能狂言
one's work,能事
description of the virtues of a drug,能書き
active voice,能動態
active immunity,能動免疫
calligrapher,能筆
skilled calligrapher,能筆
noh stage,能舞台
skilled in writing,能文
skilled writer,能文家
orator,弁者
incompetence,能なし
noh mask,能面
noh actor,能役者
capable official,能吏
moment (i.e. magnetic moment),能率
performance-based,能率給
performance-based remuneration,能率給
efficiency wages,能率賃金
cerebral apoplexy,脳いっ血
cerebritis,脳炎
hypophysis,脳下垂体
ischemic,脳こうそく
(ischemic) stroke,脳こうそく
brain cell,脳細胞
brain coral,脳珊瑚
brain death,脳死
haemorrhage,脳出血
cerebral haemorrhage,脳出血
cerebral hemorrhage,脳卒中
crown of the head,脳巓
EEG,脳波
anaemia,貧血症
cerebral anaemia,脳貧血
brain tissue,脳みそ
evils,膿
pus,膿む
to form pus,膿む
pustula,膿疱
abscess,腫物
School,農家
Agronomists,農家
School of Agronomists,農家
(science of) agriculture,農学
farmers,農閑期
leisure season for farmers,農閑期
agricultural cooperative,農協
agriculture and industry,農工
farmwork,農作業
agricultural products,農産
agricultural produce,農産物
farm (agriculture),農場
farmland,畑地
serf,農奴
farmhand,農夫
peasant,農民
agrichemical,農薬
agriculture and forestry,農林
Agriculture, Forestry and Fisheries
Minister of Agriculture, Forestry and Fisheries
peep,覘き
peep show,覘き
peeping,透き見
peeping (e.g. through a hole, narrow gap)
to peer in,のぞき込む
tom,覗魔
peeping tom,覗魔
flea,蚤
heraldic,鞆絵
interlocked,鞆絵
comma-shaped,鞆絵
heraldic design composed of two or more interlocked comma-shaped figures,鞆絵
comma-pattern,巴瓦
comma-pattern tile,巴瓦
almond,巴旦杏
overhead throw in judo,巴投げ
Hyogo,播州
old name for part of Hyogo prefecture,播州
hegemony,覇権
titleholder,優勝者
beneath the waves,波間に
ripple,皴
jetty,波戸場
surfing,波乗り
wavy,波線
wavy line,波線
foreshore,浜べ
undulate,波うつ
to undulate,波うつ
wavy hair,波打つ髪
whitecaps,波頭
slit,波紋
Japanese slit drum,波紋
with many vicissitudes,波乱万丈
temp,派遣
agency temp,派遣
derivative,誘導体
derivative (word),派生語
to break (a record),破る
to fall into ruin,破れる
deflowering,破瓜
disorganised,破瓜病
disorganized schizophrenia (disorganised),破瓜病
(application) crash,破壊
devastating,破壊的
commandments,破戒
offense against the Buddhist commandments (offence),破戒
reversal (of an original ruling),破毀
split (friends, lovers
affricative,破擦音
affricative sound,破擦音
insolvency,破産
clearing an abacus,御破算
lockjaw,破傷風
water breaking (during pregnancy),破水
dashed,破線
dashed line,破線
breakage,破損
unprecedented,曠古
shard,破片
anathema,破門
cancellation (of a contract),破約
break off,破裂
plosive,破裂音
plosive sound,破裂音
bitch,婆あ
living without one's mother-in-law,婆抜き
to speak ill of,腐す
boos,罵声
scathing criticism,罵倒
Musa,芭蕉
basjoo,芭蕉
Japanese fiber banana (Musa basjoo),芭蕉
promoted bishop,馬
deaf,馬の耳に念仏
preaching to the deaf,馬の耳に念仏
plays,馬脚
horse's,馬脚
stage actor who plays the role of a horse's legs,馬脚
harness,上敷
horse market,馬市
praying to deaf ears,馬耳東風
sneezed,馬鹿にならない
not to be sneezed at,馬鹿にならない
trifled,馬鹿に出来ない
someone (something) not to be trifled with,馬鹿に出来ない
once a fool, always a fool
even a fool has one talent,馬鹿も一芸
yourself,ばかを見る
to make a fool of yourself,ばかを見る
stupid person,ばか者
well-received,ばか受け
being extremely well-received,ばか受け
naively,ばか正直
naively honest,ばか正直
nitwit,ばか野郎
animal strength,ばか力
(art of) riding,馬術
leapfrogging,馬跳
horse-headed,馬頭
horse-headed demon (in hell),馬頭
horsemeat,馬肉
Scraper,馬面
Black Scraper (fish),馬面
horse-drawn,馬力
horse-drawn cart,馬力
haiku picture,俳画
pseudonym of a haiku poet,俳名
haiku poet,俳人
Basho,俳聖
the poet Basho,俳聖
the world of the haiku,俳壇
flavour,風味
prose with a poetic haiku flavor (flavour),俳文
haiku (poetic) flavor (flavour),俳味
pals,俳友
(haiku) poetry pals,俳友
renga,誹諧
humorous or vulgar renga poetry,誹諧
haikai,俳諧師
writer of haikai poems,俳諧師
sullied,頽る
to be sullied,頽る
to go into decline (of a town, business
disused,廃鉱
disused mine,廃鉱
abolition,廃合
amalgamation,廃合
abolition and amalgamation,廃合
scrap material,廃材
annulment,廃止
unregistering,廃車
invalid,不当
discontinuation,廃絶
domains,領内
1871,廃藩置県
abolition of feudal domains and establishment of prefectures (1871),廃藩置県
out-of-print,廃盤
out-of-print CD,廃盤
obsolescent,廃要素
implore,拝み倒す
to implore,拝み倒す
to see (something or someone of high status),拝む
having an audience with someone of very high social standing (e.g. the emperor),拝謁
Zoroastrianism,拝火教
To,拝啓
Whom,拝啓
It,拝啓
Concern,拝啓
To Whom It May Concern,拝呈
looking at,拜見
listening respectfully,拝聴
sewerage,排液
exhaust fumes,排気ガス
(engine) displacement,排気量
denunciation,排撃
ejection,放出
boycott,非買同盟
clannish,排他的
exclusion principle,排他律
micturition,排尿
defecation,排便
ovulation,排卵
excretion,用
cause of defeat,敗因
defeated,敗者
the defeated,敗者
strong indications of defeat,敗色が濃い
losing a war,敗戦
defeated country,敗戦国
loss of a (legal) case,敗訴
debacle,敗走
eliminated,敗退
being eliminated (from competition),敗退
setback,蹉跌
sense of defeat,敗北感
beverages,酒盃
cup for alcoholic beverages,酒盃
tall (of a person),せが高い
short (of a person),背が低い
to infringe,叛く
avert,背ける
to avert (one's eyes),背ける
backstroke,背泳ぎ
backstroke (swimming),背泳
defection,背教
support (from behind the scenes),背景
spinal column,脊骨
pushing to the limit,背延び
infidelity,不忠
traitor,逆徒
back (of the body),背なか
backache,背中の痛み
opposite sides of the same coin,背中合せ
fall from virtue,悖徳
misappropriation,背任
shirt number,背番号
lung,肺
pneumonia,肺炎
lung capacity,肺活量
innermost heart,肺肝
lungs,肺臓
pulmonary,肺病
tuberculosis,肺病
pulmonary tuberculosis,肺病
air cell,肺胞
lobe of the lung,肺葉
suffixed,儕
suffixed to words indicating a class of people to create a plural (esp. in impolite contexts),儕
appearing one after the other,輩出
to station,賦る
being under someone's command,配下
plumbing,配管工業
food ration,配給
chain of distribution,配給系
husband and wife,配偶
marrying off,配合
manning,配乗
manning (e.g. vessel),配乗
colour scheme,配色
water supply,配水
wiring,配線
attachment (of a person to another unit, organization
distribution of electricity,配電
dividend,配当金
n,倍
1 in n,倍
to double,折曲げる
doubling,倍増し
double amount,倍額
double size,倍大
applicant-to-acceptance,倍率
applicant-to-acceptance ratio,倍率
to foster,培う
fomes,媒介物
transmission medium,媒質
mordant,媒染剤
EM,媒体終端
lowest (of a three-tier ranking system),楳
rainy season,豊水期
sunny,梅雨晴れ
sunny spell during rainy season,梅雨晴れ
ume,実梅
ume (plum) blossoms,梅花
pickled dried plum,梅干
plum-blossom,梅見
plum-blossom viewing,梅見
brandy,梅酒
Japanese plum brandy,梅酒
plum grove,梅林
soot,煤
soot and smoke,煤烟
buying operation,買いオペレーション
to scoop up,買いあさる
to lay in,買込む
flat fee,買取り
to buy up,買占める
bulk purchasing,買出し
to buy up (all of something),買上げる
to buy more (of something),買足す
to buy in,買入れる
to give (someone) too much credit,買い被る
redeem,買戻す
to redeem,買戻す
to draw upon oneself,買う
undertake,かって出る
to undertake a challenge,かって出る
payable,買い掛け金
accounts payable,買い掛け金
shopping bag,手提げ袋
selling operation,売りオペレーション
house for sale,売家
to extend the sale of,売り広げる
hard selling,売込み
heavily,売り込む
to sell heavily,売り込む
to become popular,売出す
sold-out,売切
sold,売切れる
to be sold out,売切れる
to sell over to,売渡す
to sell off,売りとばす
to force a sale,売付ける
to sell completely,売払う
selling point,売物
to hawk,売歩く
to be famous,売れる
old maid,売れ残り
quisling,売国奴
slut,売女
sales receipt,売上票
sales volume,売買高
fortunetelling,売卜
fortunetelling (as an occupation),売卜
self-advertisement,売名
sales contract,売約
(already) sold,売約済
reparations,賠償金
liability insurance,賠責
superiors,陪食
dining with one's superiors,陪食
juryman,陪審員
in attendance,陪席
creeping,這い松
creeping pine,這い松
crawling,這い這い
creep,延う
to creep,延う
scrub,蝿
weighing machine,衡器
Hagi,芽子
Hagi (city in Yamaguchi),芽子
the eldest son,伯兄
earl,伯爵
father's,伯叔
one's father's brothers,伯叔
older and younger brother,伯仲
to come off,剝がれる
to bare (the teeth),剝き出す
to open wide (eyes),剝く
discolour,剝げる
to discolour,剝げる
to peel off,剝げ落ちる
calendar pad,剝がし暦
to steal a portion,剥る
sukiyaki,寿喜焼
briefly,剝身
salt-pickled,剝身
briefly salt-pickled fish slice,剝身
shucked,剝身
shucked shellfish,剝身
stuffed,はく製
stuffed animal,はく製
taxidermy,剥製術
divestiture,剝奪
peeling,剝脱
peeling off,剝脱
excoriation,剝落
(flow) separation,剝離
love of fellow man,博愛
philanthropism,博愛主義
copious,博引傍証
citing copious references,博引傍証
erudition,博識
extensive learning,博学
polymath,博学者
wide knowledge and versatile talents,博学多才
wide learning and energetic activity,博学力行
liturgical, etc.)
pitch and length marks (to accompany a Buddhist liturgical chant, etc.)
doctoral,博士課程
doctoral course,博士課程
PhD,博士号
large and wide,博大
broad area of learning,博物
natural history,博物学
erudite,博聞
wide knowledge,博覧
encyclopedic,博覧強記
encyclopedic knowledge and strong memory,博覧強記
gambling den,博奕宿
clappers,拍子木
wooden clappers,拍子木
encourage,拍車を掛ける
to encourage,むち打つ
applause,拍手かっさい
beats,唸り
count of beats in music,拍数
imperial palace guard,柏木
to be moored,泊る
house guest,食客
to stop (e.g. at a hotel),泊り込む
skewered grilled pig intestine,白
to grow light (at dawn),白ける
1970s,白け世代
apathetic,無自覚
issues,白け世代
generation of young people (esp. of the 1970s) apathetic about social issues,白け世代
to turn grey (gray),白む
white-colored,白バイ
motorcycle,白バイ
white-colored police motorcycle,白バイ
white wall,白堊
Cretaceous,白亜紀
Period,白亜紀
Cretaceous Period,白亜紀
chalky,白亜質
layperson,白衣
Pandara,白衣明妃
feather,白羽
white feather,白羽
white smoke,白烟
albino,白子
know-it-all,白川夜舟
know-it-all manner,白川夜舟
White,白禍
Peril,白禍
takeover,吸収合併
race(s,白禍
White Peril (i.e. takeover by white race(s)),白禍
Betula,白樺
platyphylla,白樺
Japanese white birch (Betula platyphylla var. japonica),白樺
frowning,白眼視
frowning on,白眼視
white ant,白アリ
white chrysanthemum,白菊
platinum,白金
Pt,白金
platinum (Pt),白金
Moby,白鯨
Dick,白鯨
Moby Dick,白鯨
white blood cell,白血球
Vulpes,白狐
lagopus,白狐
Arctic fox (Vulpes lagopus),白狐
guilt and innocence,白黒
Chinese cabbage,白菜
dried young sardines,白子干
99th,白寿
99th birthday,白寿
white paper (government report),白書
sapwood,白身
naked sword,白刃
linea,白線
alba,白線
anot.,白線
linea alba (anot.),白線
waterfall resembling a white sheet,白滝
retardation,白痴
profound mental retardation,白痴
discolor,白茶ける
to discolor,白茶ける
white-feathered,白鳥
white-feathered bird,白鳥
white peach,白桃
reaching,白熱
reaching a climax,白熱
uncooked,白米
(uncooked) white rice,白米
(piece of) chalk,白墨
unfinished woodwork,白木
night during which the sun doesn't set,白夜
whiting,白鱚
Sillago,白鱚
Japanese whiting (Sillago japonica),白鱚
foreign goods,舶来品
zebra grass,芒
to water down,薄める
to grow pale,薄らぐ
to become dim,薄れる
gloomy,陰気臭い
drab,薄ぎたない
dusting,叩き
dusting of snow,薄化粧
peppermint,薄荷糖
Mentha,薄荷
arvensis,薄荷
piperascens,薄荷
Japanese peppermint (Mentha arvensis var. piperascens),薄荷
essence of mint,薄荷精
infirm,薄志弱行
infirm of purpose and lacking in decision,薄志弱行
thin (blade),薄刃
being lightly dressed,薄着
dimwit,薄ばか
thin skin,薄皮
foil (of metal),薄片
thin film,薄膜
faint light,微光
deep-fried tofu,薄揚げ
small profits and quick returns,薄利多売
compel,逼る
to compel,逼る
airing of books,曝書
ambiguous,曖昧模糊
bombing (raid),爆撃
bomber (aircraft),爆撃機
blasting,発破
flopping,爆死
laughing hard (of a single person),爆笑
ground zero,爆心地
wine-based, also beer with whiskey)
alcohol with liquor added (esp. wine-based shōchū highball, also beer with whiskey)
blowing up and sinking,爆沈
outpouring,爆発
explosibility,爆発性
tremendous,爆発的
explosive (material),爆発物
explosive power,爆発力
blasting powder,爆薬
depth charge,爆雷
exploding,爆裂
to bind together,縛り込む
(death by) hanging,縛り首
fetter,縛る
to fetter,縛る
malva,ばく大
Sterculia,ばく大
lychnophora,ばく大
malva nut (Sterculia lychnophora),ばく大
knitted,目利安
knitted goods,目利安
oat,麦
oats,エン麦
oat (oats),麦
wheat harvest,麦秋
wheat threshing,麦打ち
price of wheat,麦価
malt sugar,麦芽糖
ergot,麦角
wheat raising,麦作
wheat planting,麦蒔
flour made from parched barley,麦焦し
stacked wheat,麦束
barley tea,麦茶
wheat-straw,麦笛
wheat-straw whistle,麦笛
rice field used to grow wheat,麦田
parched-barley,麦湯
parched-barley tea,麦湯
treading wheat plants,麦踏み
cornfield,麦畑
hordeolum,麦粒腫
polishing wheat,麦搗き
box and cover,函蓋
cross-section,函渠
drain with an oblong cross-section,函渠
Hakone,函嶺
Mountains,函嶺
the Hakone Mountains,函嶺
something packed into a box,箱詰め
miniature garden,箱庭
founding of a state,肇国
mast,檣
prevents,弭
hawser,弭
wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out,弭
to understand from experience,肌で感じる
pale orange,膚色
next to the skin,肌身離さず
singlet,襦袢
out of one's field,畑違い
plowing,畑打ち
zigzag bridge,八ッ橋
sleeve, below the armpit)
meets, below the armpit)
bodice,裑
small opening in the side of some traditional Japanese clothing (located where the sleeve meets the bodice, below the armpit)
eight-armed,八つ手網
eight-armed scoop net,八つ手網
8vo,八折り判
taking out one's anger on,八つ当り
cutting (a person) to pieces,八裂き
"hachi", the kanji for eight
shape of "hachi", the kanji for eight
octagon,八辺形
cuffs,八掛
lining for cuffs and hem of a kimono,八掛
Eight,八極拳
Extremities,八極拳
Eight Extremities Fist,八極拳
the eight kinds of suffering (birth, old age
fortune-telling,八卦
pa,八卦掌
kua,八卦掌
chang,八卦掌
pa kua chang,八卦掌
eighth,八月
eighth month of the lunar calendar,葉月
all eight corners of the world under one roof,八紘一宇
boundaries,八荒
the national boundaries,八荒
1st of August (lunar calendar),八朔
trimmed,八字ひげ
finely trimmed moustache,八字ひげ
eighties,八十路
one's eighties,八十路
distant seas,絶海
layers of clouds,八重雲
fences,八重垣
fences within fences,八重垣
double blossom,八重咲き
double cherry blossoms,八重桜
high canine,八重歯
herbs,八千草
various herbs,八千草
eight thousand years,八千代
ability in any line,八達
twilled,八段
twilled fabric,八段
long sea voyage,八潮路
8,捌
the 8 districts of feudal Japan,八道
eight days,八日
maze,八幡の不知藪
Shrine of the God of War,八幡宮
fruit and vegetable shop,八百屋
fixed game,八百長
countless,八百万
countless things,八百万
eight million,八〇〇〇〇〇〇
Beatitudes,八福
the Beatitudes,八福
quaver,八分音符
large hanging lantern,八方
to find a solution (after struggle),八方丸く治まる
flawless beauty,八方美人
all sides,八面
affability,八面玲瓏
brainpan,鉢
encountering,鉢合せ
potting,鉢植
counter for blows (punches),発
fuming,発煙
smoke candle,発煙筒
production of sound,発音
discharging,発火
budding,発芽
uncovered,無蓋
being uncovered,発覚
start (new) publication,発刊
diaphoresis,発汗
oncogenesis,発癌
cancer-causing,発癌性
cancer-causing quality,発癌性
ban on sale,発禁
unearthing,発掘
issuing (a banknote, ticket
discoverer,発見者
finder's,発見料
finder's fee,発見料
molecular,発現
biology;,発現
expression (e.g. in molecular biology; protein expression or gene expression),発現
luminescence,冷光
LED,発光ダイオード
coming into effect,発効
raising (an event),発行
publishing schedule,発行スケジュール
issuing company (e.g. of a credit card),発行会社
publishing office,発行所
number of copies sold,発行部数
zymosis,醗酵
fermented milk product,発酵乳
sending out,発出
appearance of auspicious omen,発祥
(coming into) heat,発情
production of colour,発色
beep,発信音
transmitter,発信側
eruption,発疹
embryology,発生学
rate of occurrence,発生率
leading a group of people (in cheering, singing
arrival and departure,はっ着
having an active sex life,発展
in progress,遣り掛け
telegraphing,發電
power generator,発電機
power station,発電所
invocation,念誦
pyrexia,発熱
launch (product),発売
now on sale,発売中
release date,発売日
presentation (e.g. product launch),発表会
attack (disease),発病
expanded,発砲スチロール
polystyrene,発砲スチロール
expanded polystyrene,発砲スチロール
discharge of gun,発砲
explosively,発勁
releasing internal power explosively,発勁
hair (of the head),髪の毛
hair ornament,髪飾り
ceremony of allowing the hair to grow at age three,髪置
avenge,伐つ
to avenge,伐つ
lumbering,伐採
felling,伐倒
logging,伐木
to pay for one's sins,罰があたる
penalise,罰する
to penalise,罰する
accursed,罰当り
to make a mistake,為損じる
to tower above (the surrounding landscape),擢んでる
pickpocket,掏児
to pickpocket,抜き取る
to distill,ぬき出す
doing without prior notice,抜打ち
unsheathe,抜き放つ
to unsheathe,抜き放つ
to record (video),抜く
88,脱ける
combinations,脱ける
to finish a round with more than 88 points (not counting points gained from scoring combinations),脱ける
exuviae,蛻
to break out (of a loop),脱け出す
to be omitted,抜け落ちる
extraordinariness,抜群
sutures,抜糸
removal of sutures,抜糸
tooth extraction,抜歯
exceptional promotion,抜てき
drawn sword,抜刀
dove,鴿
pigeon house,鳩舎
orient,蚌
clam,蚌
Meretrix,蚌
lusoria,蚌
common orient clam (Meretrix lusoria),蚌
peregrine, Falco peregrinus)
falcon (esp. the peregrine falcon, Falco peregrinus)
nominal official,伴食
priests assisting at a Buddhist service,伴僧
(musical) accompaniment,合方
size (of paper or books),判
puzzle,判じ絵
picture puzzle,判じ絵
judges,判検事
prosecutors,判検事
judges and prosecutors,判検事
judge advocate,判士
judiciary,判事
contests,判者
judge (of literary contests),判者
traveling,判取り
stamps,判取り
traveling around getting seal stamps (travelling),判取り
delivery book,判取り帳
evaluation standard,判断規準
discernment,洞見
winning a decision,判定勝ち
indecipherable,判読し難い
junior official,判任官
discriminant,判別式
confirming,判明
(judicial) precedent,判例
han, approx. 595.8 m^2)
han (unit of land area, approx. 595.8 m^2)
half a month,半か月
half a year,半か年
beyond the middle,半ばすぎ
knickerbockers,半ズボン
subconsciousness,半意識
penumbra,半影
bisexual,半陰陽
bisexual (characteristics),半陰陽
semipermanent,半永久的
semicircle,半月
half-tone,半音
chromatic scale,半音階
half price,半値
semiprocessed,半加工品
semiprocessed goods,半加工品
half ripe,半可
smatterer,半可通
seed-sowing,半夏生
rice-planting,半夏生
last seed-sowing and rice-planting day,半夏生
imperfect,未完成
imperfect tense,半過去
only half understood,半解
partial destruction,半壊
semicivilised,半開
in half bloom,半開き
half-civilised,半開国
half-civilised country,半開国
quad,半角
en quad,半角
half-leather,半革装丁
half-leather binding,半革装丁
half fare,半額
half dry,半乾き
semiofficial,半官的
semi-official,半官半民
semiofficial paper,半官報
half-opened,半眼で
with a half-opened eye,半眼で
half period,半期
half of a season,半季
semiprecious stones,半貴石
taking half of the day off,半休
small bow,半弓
frantic,血塗
geisha apprentice,半玉
quality collar for an under kimono,半襟
half the amount,半金
brief word,半句
radius,半径
semimonthly,半月刊
semimonthly (publication),半月刊
halving,半減
half life,半減期
broadside fire,半舷砲
knee underwear,半股引き
half share,半口
kuni,半国
half a kuni (province),半国
half crop,半作
half killed,半死半生
half-dead,半死
25cm,半紙
35cm,半紙
Japanese calligraphy paper (approx. 25cm by 35cm),半紙
half an hour,半時
half-done,半煮え
halfway,途中
to go halfway round (e.g. the earth),半周
unripe,半熟
semiskilled,半熟練工
semiskilled worker,半熟練工
fire bell,半鐘
hissing,半畳
incredulous,半信半疑
demigod,半神
half length,半身
bust,半身像
hemiplegia,半身不随
hemiplegia (paralysis on one side of the body),半身不随
half a man,半人前
half century,半世紀
half death,半生
half a lifetime,半生
semi-finished,半製品
semi-finished goods,半製品
half-size,半折
half-size paper,半折
half a piece,半切れ
half-price,半切符
half-price ticket,半切符
short sleeves,半そで
p,半濁音
consonant p in Japanese,半濁音
half sole,半張り
fairly,半長
fairly high shoes,半長
semi-major,半長形
semi-major axis,半長形
demolished,半潰れ
half demolished,半潰れ
half a boat length,半艇身
middle of the sky,袢天
translucent,半透明
semi-independent,半独立
HDX,半２重
semiannually,半年毎に
part-time farming,半農
grizzled,頒白
grizzled hair,頒白
